Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_21_IR,Jul_11_IR
60603,1,6,dry,TB_0343,A9,46.3906875,50.9208125
60604,1,6,dry,B100,A10,36.504625,34.9750625
60605,1,6,dry,TB_0530,A11,38.696125,39.103
60606,1,6,dry,TB_0559,A12,39.7733125,36.238
60607,1,6,dry,TB_0339,B7,35.7735625,38.896375
60608,1,6,dry,TB_0597,B8,35.7711875,34.629625
60609,1,6,dry,B100,B9,36.411625,35.945625
60610,1,6,dry,TB_0122,B10,36.9524375,38.0798125
60611,1,6,dry,TB_0381,B11,47.710625,54.8330625
60612,1,6,dry,TB_0124,B12,40.8821875,39.71525
60613,1,6,dry,TB_0205,C7,42.867375,46.9206875
60614,1,6,dry,TB_0447,C8,38.203625,37.1138125
60615,1,6,dry,TB_0446,C9,38.1113125,37.0105
60616,1,6,dry,TB_0529,C10,38.0790625,35.846875
60617,1,6,dry,TB_0492,C11,37.33925,38.4969375
60618,1,6,dry,B100,C12,37.9496875,36.620375
60619,1,6,dry,TB_0156,D7,37.45275,37.12675
60620,1,6,dry,B100,D8,36.1055,35.7950625
60621,1,6,dry,TB_0382,D9,37.2555625,38.360125
60622,1,6,dry,TB_0551,D10,37.2718125,34.829
60623,1,6,dry,TB_0501,D11,37.9848125,40.6915625
60624,1,6,dry,TB_0274,D12,41.330625,45.275875
60625,1,6,dry,TB_0486,E7,35.4135,34.752125
60626,1,6,dry,TB_0550,E8,36.7094375,35.972625
60627,1,6,dry,TB_0341,E9,37.6098125,41.1963125
60628,1,6,dry,TB_0260,E10,49.1176875,41.02075
60629,1,6,dry,TB_0344,E11,45.5505625,45.4555625
60630,1,6,dry,TB_0167,E12,41.994625,42.7173125
60631,1,6,dry,TB_0169,F7,35.6339375,38.53425
60632,1,6,dry,TB_0208,F8,42.4241875,45.746125
60633,1,6,dry,TB_0560,F9,37.775,40.7413125
60634,1,6,dry,B100,F10,36.0633125,36.964
60635,1,6,dry,TB_0037,F11,38.3026875,38.607
60636,1,6,dry,TB_0434,F12,41.6806875,44.4725
60637,1,6,dry,TB_0402,G7,35.744625,37.9439375
60638,1,6,dry,TB_0412,G8,39.96825,41.8181875
60639,1,6,dry,TB_0346,G9,41.630125,43.2783125
60640,1,6,dry,TB_0420,G10,38.675875,42.0359375
60641,1,6,dry,TB_0612,G11,39.2925,37.472625
60642,1,6,dry,TB_0476,G12,40.181125,38.47975
60643,1,6,dry,TB_0368,H7,36.500875,38.478375
60644,1,6,dry,TB_0424,H8,38.706125,37.4695
60645,1,6,dry,B100,H9,36.17075,36.113875
60646,1,6,dry,TB_0641,H10,36.8996875,36.34
60647,1,6,dry,TB_0056,H11,39.2296875,47.7845
60648,1,6,dry,TB_0340,H12,38.876125,44.4581875
60649,1,6,dry,B100,I7,35.7079375,36.5211875
60650,1,6,dry,TB_0046,I8,38.5063125,40.751875
60651,1,6,dry,TB_0348,I9,39.1333125,46.4988125
60652,1,6,dry,TB_0148,I10,42.533875,43.5349375
60653,1,6,dry,TB_0103,I11,37.590875,37.2146875
60654,1,6,dry,TB_0212,I12,47.98275,44.130375
60655,1,6,dry,TB_0554,J7,35.77625,34.668125
60656,1,6,dry,TB_0527,J8,36.371875,34.7795625
60657,1,6,dry,TB_0278,J9,38.959625,40.316
